Time;Open;High;Low;Last;Change;Volume;Open Int
11/5/19;17,12;17,12;17,12;17,12;0,189;921;35638
11/4/19;16,95;16,95;16,931;16,931;0,254;1210;35558
11/1/19;16,677;16,677;16,677;16,677;0,02;1030;35738
10/31/19;16,657;16,657;16,657;16,657;0,023;585;35788
10/30/19;16,634;16,634;16,634;16,634;-0,213;1253;35439
10/29/19;16,847;16,847;16,847;16,847;0,007;2192;34852
10/28/19;16,84;16,84;16,84;16,84;-0,078;1185;34862
10/25/19;16,918;16,918;16,918;16,918;-0,222;765;34737
10/24/19;17,14;17,14;17,14;17,14;0,13;736;34196
10/23/19;17,01;17,01;17,01;17,01;-0,088;2155;33711
10/22/19;17,098;17,098;17,098;17,098;-0,066;2420;32202
10/21/19;17,164;17,164;17,164;17,164;-0,234;1425;32317
10/18/19;17,398;17,398;17,398;17,398;-0,095;860;32107
10/17/19;17,493;17,493;17,493;17,493;-0,107;965;32277
10/16/19;17,6;17,6;17,6;17,6;-0,11;1031;32033
10/15/19;17,71;17,71;17,71;17,71;-0,009;785;31743
10/14/19;17,719;17,719;17,719;17,719;-0,176;813;31858
10/11/19;17,85;17,895;17,85;17,895;0,251;1580;31580
10/10/19;17,644;17,644;17,644;17,644;0,195;1375;31168
10/9/19;17,449;17,449;17,449;17,449;0,108;1280;30695
10/8/19;17,341;17,341;17,341;17,341;0,037;940;30645
10/7/19;17,304;17,304;17,304;17,304;-0,058;676;30515
10/4/19;17,362;17,362;17,362;17,362;-0,046;544;30524
10/3/19;17,408;17,408;17,408;17,408;-0,248;950;30637
10/2/19;17,656;17,656;17,656;17,656;-0,415;1906;30286
10/1/19;18,071;18,071;18,071;18,071;0,074;2010;30051
9/30/19;17,997;17,997;17,997;17,997;0,131;845;29752
9/27/19;17,866;17,866;17,866;17,866;-0,253;665;29506
9/26/19;18,119;18,119;18,119;18,119;0,134;1244;29878
9/25/19;17,985;17,985;17,985;17,985;-0,362;535;29703
9/24/19;18,347;18,347;18,347;18,347;-0,016;2940;29453
9/23/19;18,363;18,363;18,363;18,363;-0,163;820;29358
9/20/19;18,526;18,526;18,526;18,526;0,36;572;29176
9/19/19;18,166;18,166;18,166;18,166;0,097;395;29126
9/18/19;18,069;18,069;18,069;18,069;-0,159;1555;29088
